Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
39.2,22.0,71,120,443,0,1,electrical/clothing
39.2,22.0,71,119,434,0,1,electrical/clothing
39.2,22.0,71,118,449,0,1,electrical/clothing
39.2,22.0,71,116,444,0,1,electrical/clothing
39.2,22.0,71,113,440,0,1,electrical/clothing
39.2,22.0,71,118,442,0,1,electrical/clothing
39.2,22.0,71,120,441,0,1,electrical/clothing
39.2,22.0,72,120,445,0,1,electrical/clothing
39.2,22.0,71,116,433,0,1,electrical/clothing
39.2,22.0,71,116,441,0,1,electrical/clothing
39.2,22.0,72,118,445,0,1,electrical/clothing
39.2,22.0,72,122,444,0,1,electrical/clothing
39.2,22.0,72,125,445,0,1,electrical/clothing
39.2,22.0,71,119,440,0,1,electrical/clothing
39.2,22.0,71,122,447,0,1,electrical/clothing
39.2,22.0,71,124,449,0,1,electrical/clothing
39.2,22.0,72,124,448,0,1,electrical/clothing
39.2,22.0,72,124,448,0,1,electrical/clothing
39.2,22.0,72,123,442,0,1,electrical/clothing
39.2,22.0,71,121,440,0,1,electrical/clothing
39.2,22.0,72,124,450,0,1,electrical/clothing
39.2,22.0,71,123,446,0,1,electrical/clothing
39.2,22.0,71,123,449,0,1,electrical/clothing
39.2,22.0,72,124,444,0,1,electrical/clothing
39.2,22.0,71,129,454,0,1,electrical/clothing
39.2,22.0,72,128,441,0,1,electrical/clothing
39.2,22.0,71,127,437,0,1,electrical/clothing
39.2,22.0,72,130,441,0,1,electrical/clothing
39.2,22.0,72,122,443,0,1,electrical/clothing
39.2,22.0,71,129,441,0,1,electrical/clothing
39.2,22.0,72,122,444,0,1,electrical/clothing
39.2,22.0,71,123,442,0,1,electrical/clothing
39.2,22.0,71,123,446,0,1,electrical/clothing
39.3,22.1,72,120,445,0,1,electrical/clothing
39.2,22.0,72,126,436,0,1,electrical/clothing
39.3,22.1,71,123,440,0,1,electrical/clothing
39.2,22.0,71,129,440,0,1,electrical/clothing
39.3,22.1,72,131,442,0,1,electrical/clothing
39.2,22.0,72,128,437,0,1,electrical/clothing
39.2,22.1,72,129,441,0,1,electrical/clothing
39.2,22.0,71,128,435,0,1,electrical/clothing
39.2,22.1,71,123,436,0,1,electrical/clothing
39.2,22.1,72,127,444,0,1,electrical/clothing
39.1,22.0,72,126,441,0,1,electrical/clothing
39.2,22.1,71,127,443,0,1,electrical/clothing
39.2,22.1,72,129,444,0,1,electrical/clothing
39.2,22.1,72,129,440,0,1,electrical/clothing
39.2,22.1,71,137,443,0,1,electrical/clothing
39.2,22.0,72,134,440,0,1,electrical/clothing
39.2,22.1,72,132,443,0,1,electrical/clothing
39.2,22.1,72,129,435,0,1,electrical/clothing
39.2,22.1,72,129,441,0,1,electrical/clothing
39.1,22.0,72,129,440,0,1,electrical/clothing
39.2,22.1,72,130,435,0,1,electrical/clothing
39.1,22.0,72,127,430,0,1,electrical/clothing
39.2,22.1,72,125,430,0,1,electrical/clothing
39.2,22.1,72,130,442,0,1,electrical/clothing
39.2,22.1,72,129,435,0,1,electrical/clothing
39.2,22.1,72,122,430,0,1,electrical/clothing
39.3,22.1,72,122,433,0,1,electrical/clothing
39.2,22.0,72,126,439,0,1,electrical/clothing
39.2,22.0,72,127,435,0,1,electrical/clothing
39.3,22.1,72,129,436,0,1,electrical/clothing
39.3,22.1,71,128,442,0,1,electrical/clothing
39.3,22.1,72,129,445,0,1,electrical/clothing
39.3,22.1,72,131,439,0,1,electrical/clothing
39.3,22.1,72,127,436,0,1,electrical/clothing
39.3,22.1,72,127,435,0,1,electrical/clothing
39.3,22.1,72,125,436,0,1,electrical/clothing
39.3,22.1,72,125,436,0,1,electrical/clothing
39.3,22.1,72,132,446,0,1,electrical/clothing
39.3,22.1,72,129,446,0,1,electrical/clothing
39.3,22.1,72,130,441,0,1,electrical/clothing
39.3,22.1,72,131,438,0,1,electrical/clothing
39.3,22.1,72,133,450,0,1,electrical/clothing
39.3,22.1,72,132,440,0,1,electrical/clothing
39.2,22.1,72,137,445,0,1,electrical/clothing
39.3,22.1,72,131,438,0,1,electrical/clothing
39.3,22.1,72,130,437,0,1,electrical/clothing
39.3,22.1,72,135,450,0,1,electrical/clothing
39.2,22.1,72,130,440,0,1,electrical/clothing
39.2,22.1,72,134,449,0,1,electrical/clothing
39.2,22.1,72,137,450,0,1,electrical/clothing
39.2,22.1,72,137,453,0,1,electrical/clothing
39.2,22.1,72,138,444,0,1,electrical/clothing
39.3,22.1,72,133,438,0,1,electrical/clothing
39.3,22.1,72,132,437,0,1,electrical/clothing
39.3,22.1,72,127,434,0,1,electrical/clothing
39.3,22.1,72,133,441,0,1,electrical/clothing
39.2,22.1,72,134,445,0,1,electrical/clothing
39.2,22.1,72,134,440,0,1,electrical/clothing
39.2,22.1,72,135,442,0,1,electrical/clothing
39.2,22.1,72,133,446,0,1,electrical/clothing
39.2,22.1,72,133,439,0,1,electrical/clothing
39.2,22.1,72,134,429,0,1,electrical/clothing
39.2,22.1,72,132,442,0,1,electrical/clothing
39.2,22.1,72,135,434,0,1,electrical/clothing
39.2,22.1,72,134,439,0,1,electrical/clothing
39.2,22.1,72,129,439,0,1,electrical/clothing
39.2,22.1,72,134,430,0,1,electrical/clothing
39.2,22.1,72,137,435,0,1,electrical/clothing
39.2,22.1,72,130,429,0,1,electrical/clothing
39.2,22.1,72,127,427,0,1,electrical/clothing
39.2,22.1,72,128,427,0,1,electrical/clothing
39.2,22.1,72,127,426,0,1,electrical/clothing
39.2,22.1,72,132,420,0,1,electrical/clothing
39.2,22.1,72,128,430,0,1,electrical/clothing
39.2,22.1,72,130,427,0,1,electrical/clothing
39.2,22.1,72,125,416,0,1,electrical/clothing
39.2,22.1,72,129,420,0,1,electrical/clothing
39.2,22.1,72,128,426,0,1,electrical/clothing
